Comprehensive Master Database of 500+ Indian Government Schemes,,,,,,,,
"Extensive multi-state and central registry tracking eligibility parameters, income brackets, required documentation, and application prerequisites.",,,,,,,,
,,,,,,,,
Scheme Name,"Scheme Type
(Central/State)",State / UT Name,Eligible Gender,Eligible Age Group,Eligible Income / Salary Range,Eligible Occupation / Category,Required Application Documents,Essential / Critical Prerequisites
Babu Jagjivan Ram Kisan Samman Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Kisan Samman Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Fasal Bima Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Fasal Bima Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Fasal Bima Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Fasal Bima Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Fasal Bima Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Fasal Bima Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Mudra Loans Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Mudra Loans Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Mudra Loans Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Mudra Loans Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Mudra Loans Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Mudra Loans Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Garib Kalyan Food Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Garib Kalyan Food Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Garib Kalyan Food Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Garib Kalyan Food Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Garib Kalyan Food Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Garib Kalyan Food Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Gram Sadak Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Gram Sadak Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Gram Sadak Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Gram Sadak Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Gram Sadak Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Gram Sadak Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Kaushal Vikas Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Kaushal Vikas Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Kaushal Vikas Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Kaushal Vikas Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Kaushal Vikas Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Kaushal Vikas Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Digital Literacy Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Digital Literacy Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Digital Literacy Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Digital Literacy Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Digital Literacy Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Digital Literacy Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Matru Vandana Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Matru Vandana Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Matru Vandana Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Matru Vandana Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Matru Vandana Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Matru Vandana Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Shram Yogi Maan-dhan Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Shram Yogi Maan-dhan Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Shram Yogi Maan-dhan Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Shram Yogi Maan-dhan Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Shram Yogi Maan-dhan Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Shram Yogi Maan-dhan Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Vandhan Vikas Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Vandhan Vikas Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Vandhan Vikas Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Vandhan Vikas Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Vandhan Vikas Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Vandhan Vikas Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Matsya Sampada Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Matsya Sampada Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Matsya Sampada Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Matsya Sampada Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Matsya Sampada Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Matsya Sampada Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Krishi Sinchayee Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Krishi Sinchayee Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Krishi Sinchayee Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Krishi Sinchayee Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Krishi Sinchayee Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Krishi Sinchayee Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Poshan Abhiyaan Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Poshan Abhiyaan Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Poshan Abhiyaan Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Poshan Abhiyaan Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Poshan Abhiyaan Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Poshan Abhiyaan Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Ayushman Bharat Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Ayushman Bharat Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Ayushman Bharat Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Ayushman Bharat Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Ayushman Bharat Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Ayushman Bharat Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Livelihood Upliftment Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Livelihood Upliftment Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Livelihood Upliftment Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Livelihood Upliftment Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Livelihood Upliftment Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Livelihood Upliftment Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri StandUp India Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National StandUp India Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM StandUp India Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal StandUp India Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram StandUp India Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri StandUp India Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Startup Subvention Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Startup Subvention Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Startup Subvention Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Startup Subvention Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Startup Subvention Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Startup Subvention Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Jan Aushadhi Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Jan Aushadhi Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Jan Aushadhi Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Jan Aushadhi Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Jan Aushadhi Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Jan Aushadhi Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri SVANidhi Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National SVANidhi Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM SVANidhi Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal SVANidhi Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram SVANidhi Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri SVANidhi Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Vishwakarma Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Vishwakarma Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Vishwakarma Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Vishwakarma Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Vishwakarma Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Vishwakarma Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri PM-EGPs Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National PM-EGPs Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM PM-EGPs Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal PM-EGPs Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram PM-EGPs Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri PM-EGPs Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
